AMD-1026440_test2.brd
Net	(X Y)	Padstack	BD_Side	Gnd_Layer	Gnd_Net	Gnd_Layer#
P_GFX_TXP[0]_TC_SITE1	(-10850.0 -6550.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
USB1_TXP_TC_SITE1	(-10850.0 -5750.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
P_GPP_TXP[4]_TC_SITE1	(-10950.0 -5850.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
P_GFX_TXP[2]_TC_SITE1	(-10950.0 -5450.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
P_GFX_TXP[7]_TC_SITE1	(-10850.0 -5350.0)	PS400-PAD1	TOP	L31PN_GND13	VSS	31
MA_DQS_H[2]/MAA_DQS_H[2]_SITE1	(-10850.0 -4950.0)	PS400-PAD1	TOP	L14PN_GND6	VSS	14
P_GFX_RXP[2]_TC_SITE1	(-10950.0 -5050.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
DP1_TXP[2]_TC_SITE1	(-10950.0 -4650.0)	PS400-PAD1	TOP	L29PN_GND12	VSS	29
P_GPP_RXP[1]/SGMII1_RXP_TC_SITE1	(-10850.0 -4550.0)	PS400-PAD1	TOP	L33PN_GND14	VSS	33
DP0_TXN[2]_TC_SITE1	(-10850.0 4950.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
P_GFX_TXN[5]_TC_SITE1	(-10850.0 5350.0)	PS400-PAD1	TOP	L06PN_PWR3	VSS	6
DP1_TXN[3]_TC_SITE1	(-10850.0 5750.0)	PS400-PAD1	TOP	L06PN_PWR3	VSS	6
P_GPP_TXN[1]/SGMII1_TXN_TC_SITE1	(-10850.0 6550.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
P_GFX_TXN[4]_TC_SITE1	(-10850.0 6950.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
MA_DATA[28]/MAA_DATA[28]_SITE1	(-10550.0 -7050.0)	PS400-PAD1	TOP	L12PN_GND5	VSS	12
P_GFX_TXN[0]_TC_SITE1	(-10650.0 -6550.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
USB1_TXN_TC_SITE1	(-10650.0 -5750.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
P_GPP_TXN[4]_TC_SITE1	(-10750.0 -5850.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
P_GFX_TXN[2]_TC_SITE1	(-10750.0 -5450.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
MA_DATA[29]/MAA_DATA[29]_SITE1	(-10550.0 -5450.0)	PS400-PAD1	TOP	L12PN_GND5	VSS	12
P_GFX_TXN[7]_TC_SITE1	(-10650.0 -5350.0)	PS400-PAD1	TOP	L31PN_GND13	VSS	31
P_GFX_RXP[7]_TC_SITE1	(-10550.0 -5050.0)	PS400-PAD1	TOP	L31PN_GND13	VSS	31
P_GFX_RXN[2]_TC_SITE1	(-10750.0 -5050.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
MA_DQS_L[2]/MAA_DQS_L[2]_SITE1	(-10650.0 -4950.0)	PS400-PAD1	TOP	L14PN_GND6	VSS	14
DP1_TXN[2]_TC_SITE1	(-10750.0 -4650.0)	PS400-PAD1	TOP	L29PN_GND12	VSS	29
P_GPP_RXN[1]/SGMII1_RXN_TC_SITE1	(-10650.0 -4550.0)	PS400-PAD1	TOP	L33PN_GND14	VSS	33
MA_ODT[1]/MAB_CA[4]_SITE1	(-10650.0 4550.0)	PS400-PAD1	TOP	L12PN_GND5	VSS	12
DP0_TXN[0]_TC_SITE1	(-10750.0 4650.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
DP0_TXP[0]_TC_SITE1	(-10550.0 4650.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
DP1_TXN[0]_TC_SITE1	(-10750.0 5050.0)	PS400-PAD1	TOP	L06PN_PWR3	VSS	6
DP1_TXP[0]_TC_SITE1	(-10550.0 5050.0)	PS400-PAD1	TOP	L06PN_PWR3	VSS	6
DP0_TXP[2]_TC_SITE1	(-10650.0 4950.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
P_GFX_TXP[5]_TC_SITE1	(-10650.0 5350.0)	PS400-PAD1	TOP	L06PN_PWR3	VSS	6
P_GPP_RXP[9]/SATA3_RXP_TC_SITE1	(-10550.0 5450.0)	PS400-PAD1	TOP	L06PN_PWR3	VSS	6
P_GPP_RXN[9]/SATA3_RXN_TC_SITE1	(-10750.0 5450.0)	PS400-PAD1	TOP	L06PN_PWR3	VSS	6
DP1_TXP[3]_TC_SITE1	(-10650.0 5750.0)	PS400-PAD1	TOP	L06PN_PWR3	VSS	6
P_GPP_TXP[1]/SGMII1_TXP_TC_SITE1	(-10650.0 6550.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
MA_CHECK[1]/RSVD_SITE1	(-10550.0 7050.0)	PS400-PAD1	TOP	L14PN_GND6	VSS	14
P_GFX_TXP[4]_TC_SITE1	(-10650.0 6950.0)	PS400-PAD1	TOP	L18PN_GND8	VSS	18
MA_ADD[7]/RSVD_SITE1	(-10550.0 7450.0)	PS400-PAD1	TOP	L14PN_GND6	VSS	14
MA_DATA[9]/MAA_DATA[1]_SITE1	(-10350.0 -7450.0)	PS400-PAD1	TOP	L12PN_GND5	VSS	12
MB_DATA[22]/MBA_DATA[18]_SITE1	(-10250.0 -7350.0)	PS400-PAD1	TOP	L16PN_GND7	VSS	16
MB_DM[2]/MBA_DM[2]_SITE1	(-10350.0 -7050.0)	PS400-PAD1	TOP	L16PN_GND7	VSS	16
MB_DATA[28]/MBA_DATA[28]_SITE1	(-10350.0 -6650.0)	PS400-PAD1	TOP	L16PN_GND7	VSS	16
MA_DATA[17]/MAA_DATA[16]_SITE1	(-10250.0 -6550.0)	PS400-PAD1	TOP	L25PN_PWR5	VSS	25
MA_DM[3]/MAA_DM[3]_SITE1	(-10450.0 -6150.0)	PS400-PAD1	TOP	L25PN_PWR5	VSS	25
MB_CHECK[6]/RSVD_SITE1	(-10250.0 -6150.0)	PS400-PAD1	TOP	L16PN_GND7	VSS	16
MB_DATA[4]/MBA_DATA[11]_SITE1	(-10350.0 -6250.0)	PS400-PAD1	TOP	L29PN_GND12	VSS	29
MB_BG[0]/MBA_CS_L[1]_SITE1	(-10250.0 -5750.0)	PS400-PAD1	TOP	L16PN_GND7	VSS	16
MA_CKE[1]/MAA_CA[0]_SITE1	(-10450.0 -5750.0)	PS400-PAD1	TOP	L25PN_PWR5	VSS	25
MA_DATA[25]/MAA_DATA[31]_SITE1	(-10350.0 -5850.0)	PS400-PAD1	TOP	L25PN_PWR5	VSS	25
MB_ADD[9]/RSVD_SITE1	(-10350.0 -5450.0)	PS400-PAD1	TOP	L16PN_GND7	VSS	16
MB_DATA[5]/MBA_DATA[10]_SITE1	(-10250.0 -5350.0)	PS400-PAD1	TOP	L29PN_GND12	VSS	29
P_GFX_RXN[7]_TC_SITE1	(-10350.0 -5050.0)	PS400-PAD1	TOP	L31PN_GND13	VSS	31
MB_ODT[1]/MBB_CA[4]_SITE1	(-10250.0 -4950.0)	PS400-PAD1	TOP	L16PN_GND7	VSS	16
